	price	index_id	date
633	11918.21	TAIEX	2013/7/26
634	11825.66	TAIEX	2013/7/29
635	11947.97	TAIEX	2013/7/30
636	11870.23	TAIEX	2013/7/31
637	11808.6	TAIEX	2013/8/1
638	11878.07	TAIEX	2013/8/2
639	11935.81	TAIEX	2013/8/5
640	11790.87	TAIEX	2013/8/6
641	11626.71	TAIEX	2013/8/7
642	11623.86	TAIEX	2013/8/8
643	11549.23	TAIEX	2013/8/9
644	11619.71	TAIEX	2013/8/12
645	11749.1	TAIEX	2013/8/13
646	11702.13	TAIEX	2013/8/14
647	11616.32	TAIEX	2013/8/15
648	11671.98	TAIEX	2013/8/16
649	11637.31	TAIEX	2013/8/19
650	11538.15	TAIEX	2013/8/20
651	11512.56	TAIEX	2013/8/22
652	11601.81	TAIEX	2013/8/23
653	11635.47	TAIEX	2013/8/26
654	11530.4	TAIEX	2013/8/27
655	11537.06	TAIEX	2013/8/28
656	11681.9	TAIEX	2013/8/29
657	11837	TAIEX	2013/8/30
658	11862.52	TAIEX	2013/9/2
659	11935.94	TAIEX	2013/9/3
660	11928.92	TAIEX	2013/9/4
661	12055.65	TAIEX	2013/9/5
662	12048.46	TAIEX	2013/9/6
663	12099.26	TAIEX	2013/9/9
664	12124.71	TAIEX	2013/9/10
665	12125.37	TAIEX	2013/9/11
666	12149.63	TAIEX	2013/9/12
667	12065.2	TAIEX	2013/9/13
668	12027.21	TAIEX	2013/9/14
669	12193.91	TAIEX	2013/9/16
670	12185.78	TAIEX	2013/9/17
671	12125.82	TAIEX	2013/9/18
672	12249.38	TAIEX	2013/9/23
673	12258.87	TAIEX	2013/9/24
674	12236.39	TAIEX	2013/9/25
675	12089.83	TAIEX	2013/9/26
676	12157.78	TAIEX	2013/9/27
677	12073.87	TAIEX	2013/9/30
678	12095.1	TAIEX	2013/10/1
679	12138.69	TAIEX	2013/10/2
680	12349.21	TAIEX	2013/10/3
681	12357.38	TAIEX	2013/10/4
682	12312.05	TAIEX	2013/10/7
683	12374.08	TAIEX	2013/10/8
684	12328.39	TAIEX	2013/10/9
685	12335.25	TAIEX	2013/10/11
686	12223.85	TAIEX	2013/10/14
687	12362.6	TAIEX	2013/10/15
688	12309.87	TAIEX	2013/10/16
689	12372.67	TAIEX	2013/10/17
690	12470.93	TAIEX	2013/10/18
691	12438.61	TAIEX	2013/10/21
692	12437.07	TAIEX	2013/10/22
693	12400.72	TAIEX	2013/10/23
694	12430.41	TAIEX	2013/10/24
695	12331.28	TAIEX	2013/10/25
696	12421.72	TAIEX	2013/10/28
697	12441.14	TAIEX	2013/10/29
